639-3	Language Name(s)	Scope	Language Type	Status
ilw	Talur	Individual	Living	Deprecated
ime	Imeraguen	Individual	Living	Deprecated
itu	Itutang	Individual	Living	Deprecated
ixi	Nebaj Ixil	Individual	Living	Deprecated
ixj	Chajul Ixil	Individual	Living	Deprecated
izi	Izi-Ezaa-Ikwo-Mgbo	Individual	Living	Deprecated
jai	Western Jacalteco	Individual	Living	Deprecated
jap	Jaruára	Individual	Living	Deprecated
jar	Jarawa (Nigeria)	Individual	Living	Deprecated
jeg	Jeng	Individual	Living	Deprecated
kbf	Kakauhua	Individual	Extinct	Deprecated
kds	Lahu Shi	Individual	Living	Deprecated
kdv	Kado	Individual	Living	Deprecated
kgc	Kasseng	Individual	Living	Deprecated
kgd	Kataang	Individual	Living	Deprecated
kgh	Upper Tanudan Kalinga	Individual	Living	Deprecated
kgm	Karipúna	Individual	Extinct	Deprecated
kjf	Khalaj	Individual	Living	Deprecated
knh	Kayan River Kenyah	Individual	Living	Deprecated
kob	Kohoroxitari	Individual	Living	Deprecated
koj	Sara Dunjo	Individual	Living	Deprecated
kox	Coxima	Individual	Extinct	Deprecated
kpp	Paku Karen	Individual	Living	Deprecated
krg	North Korowai	Individual	Living	Deprecated
krm	Krim	Individual	Living	Deprecated
krq	Krui	Individual	Living	Deprecated
ksa	Shuwa-Zamani	Individual	Living	Deprecated
ktr	Kota Marudu Tinagas	Individual	Living	Deprecated
kvs	Kunggara	Individual	Living	Deprecated
kwq	Kwak	Individual	Living	Deprecated
kxe	Kakihum	Individual	Living	Deprecated
kxg	Katingan	Individual	Living	Deprecated
kxl	Nepali Kurux	Individual	Living	Deprecated
kxu	Kui (India)	Individual	Living	Deprecated
kzh	Kenuzi-Dongola	Individual	Living	Deprecated
kzj	Coastal Kadazan	Individual	Living	Deprecated
kzt	Tambunan Dusun	Individual	Living	Deprecated
lak	Laka (Nigeria)	Individual	Living	Deprecated
lba	Lui	Individual	Extinct	Deprecated
leg	Lengua	Individual	Living	Deprecated
lii	Lingkhim	Individual	Living	Deprecated
llo	Khlor	Individual	Living	Deprecated
lmm	Lamam	Individual	Living	Deprecated
lms	Limousin	Individual	Living	Deprecated
lmt	Lematang	Individual	Living	Deprecated
lmz	Lumbee	Individual	Extinct	Deprecated
lnc	Languedocien	Individual	Living	Deprecated
